VILLAGE
ADAKAMARANAHALLI
ADARANGI
AGALAKOTE
AJJAHALLI
AJJANAHALLI
ALADAKATTE
ALALAKUPPE
ALUR
ANGAJANAHALLI
ANNAIAHSASTRIPALYA
ANNEKARANAHALLI
ARASINAKUNTE
ATTINGERE
AWERAHALLI
BACHENAHATTI
BAGANIGERE
BAGANIGEREKAVAL
BALEKATTE
BALENAHALLI
BANAVADI
BASAVANAPALYA
BASAVAPATNA
BASAVENAHALLI
BASAVENAHALLI
BEECHANAHALLI
BEERAVARA
BELAGAVADI
BELAGUMBA
BETTADASIPALYA
BETTAHALLI
BHANTRAKUPPE
BISALAHALLI
BISKURU
BITTASANDRA
BOMMANAHALLI
BYADARAHALLI
BYADARAHALLI
BYALAKERE
BYCHAPURA
BYRAPURA
BYRASANDRA
CHAKRABAVI
CHANDURAYANAHALLI
CHANNOHALLI
CHIKKAHALLI
CHIKKAKALYA
CHIKKAMASKAL
CHIKKAMASKAL
CHIKKAMUDIGERE
CHIKKASOLURU
CHIKKATHOREPALYA
CHIKKENAHALLI
CHILUR
CHOWDIBEGUR
DABBAGULI
DANDENAHALLI
DANDIGEPURA
DODDAHALLI
DODDAMASKAL
DODDAMUDIGERE
DODDASOMANAHALLI
DOLLENAHALLI
DOMMANAKATTE
DONAKUPPE
DUBBAGOTTIGE
GANGENAPURA
GANGONAHALLI
GARAGESWARAPURA
GATTIPURA
GEJJAGARAGUPPE
GERAHALLI
GOLLAHALLI
GOLLAHALLI
GOLLARAPALYA
GORURU
GUDDAHALLI
GUDDALAHALLI
GUDEMARANAHALLI
GUDEPALYA
GUMMASANDRA
GUNDIGERE
HAKKINALU
HALASABELE
HALASHETTIHALLI
HALASINGANAHALLI
HANCHIBASAVANAPALYA
HANCHIKUPPE
HANUMAPURA
HAROHALLI
HARTHI
HEBBALALU
HELIGEHALLI
HEMAPURA
HONNAPURA
HOSAHALLI
HOSAHALLI
HOSAHALLI
HUJAGAL
HULIKAL
HULIKATTE
HULLENAHALLI
HULUVENAHALLI
HYAGANAHALLI
IYANDAHALLI
JANIGERE
JUTTANAHALLI
K.G.KRISHNAPURA
KADURAMANAHALLI
KAGIMADU
KALARI
KALARI KAVAL
KALKERE
KALLUDEVANAHALLI
KALLUHATTIPALYA
KALLUR
KALYA
KALYANADEVRAMATHA
KALYANAPURA
KALYANI KAVAL
KAMASAGARA
KANCHUGARANAHALLI
KANIKENAHALLI
KANNANUR
KANNASANDRA
KANNASANDRA
KARAGADAHALLI
KARLAHALLI
KARLAMANGALA
KEMPAPURA
KEMPAPURA
KEMPAPURA
KEMPASAGARA
KEMPOHALLI
KENCHANAHALLI
KENCHANAPURA
KENKERE
KODIHALLI
KODIHALLI
KODIPALYA
KONDAHALLI
KORAMANGALA
KORAMANGALA
KOTAGARAHALLI
KOTHAGONDANAHALLI
KUDALURU
KUPPEMALA
KUTHINGERE
LAKKASANDRA
LAKKENAHALLI
LAKKENAHALLI
LINGENAHALLI
MACHOHALLI
MADABAL
MADIGONDANAHALLI
MALLAPPANAHALLI
MALLAPURA
MALLASANDRA
MALLENAHALLI
MALLLIGUNTE
MALLURU
MANAGALLU
MANCHANABELE
MANNIGANAHALLI
MARALAGONDALA
MARALUDEVANAPURA
MARASANDRA
MARENAHALLI
MARIKUPPE
MARISOMANAHALLI
MARUR
MATHA
MATHIKERE
MAYANAIKANAHALLI
MAYASANDRA
MELANAHALLI
MOOGANAHALLI
MOTAGONDANAHALLI
MUMMENAHALLI
MUPPENAHALLI
MUTHAGADAHALLI
MUTHASAGARA
MYLANAHALLI
NAGAMANGALA
NAGANAHALLI
NAGANAHALLI
NAGASETTIHALLI
NARASANDRA
NARASAPURA
NARAYANAPURA
NAYAKANAPALYA
NELAPATNA
NERALAVADI
NERALEKERE
NETHENAHALLI
OMBATHANAKUNTE
PALANAHALLI
PALYADAHALLI
PANAKANAKALLU
PARVATHAPALYA
PARVATHAPURA
PEMMANAHALLI
POLOHALLI
PURA
RAGHUNATHAPURA
RAGHUVANAPALYA
RAMANAHALLI
RANGENAHALLI
RANGENAHALLI
S.BYDARAHALLI
SADAMARANAHALLI
SANKIGHATTA KAVAL
SANNENAHALLI
SANNENAHALLI
SATHANUR
SAVANADURGA STATE FOREST
SEEGEKUPPE
SHAMBHUDEVANAHALLI
SHANKIGHATTA
SHANTHAPURA
SHANUBHOGANAHALLI
SHIDAGANAHALLI
SHIRAGANAHALLI
SHIVANASANDRA
SIDDAPURA
SINGADASANAHALLI
SINGRIPALYA
SOLURU
SOMAKKANAMUTTA
SOMEDEVANAHALLI
SRIGIRIPURA
SRINIVASAPURA
SRIPATHIHALLI
SUBBASASTRIPALYA
SUGGANAHALLI
SURAPPANAHALLI
T.CHANNAPURA
TALEKERE
TAVAREKERE
THAGACHAGUPPE
THAGGIKUPPE
THAMMENAHALLI
THATAVALU
THATTEKERE
THIMMASANDRA
THIMMASANDRA
THIPPASANDRA
THIRUMALAPURA
THIRUMALE
THORECHANNOHALLI
THORERAMANAHALLI
THYAGADAREPALYA
TUBARAPALYA
TUBINAKERE
UDAKUNTE
UDAVIGERE
UDDANDAHALLI
UPPARTHI
VADDARAHALLI
VAJARAHALLI
VARADENAHALLI
VARADOHALLI
VARTHENAHALLI
VEERAPURA
VEERAPURA
VEERASAGARA
VENGALAPPANAHALLI
VIRUPAPURA
VISWANATHAPURA
VITALAPURA
VODDARAPALYA
YALLAPURA
YANNEGERE
