GRAMA PANCHAYATH
ADARANGI
AGALAKOTE
AJJANAHALLI
BACHENAHATTI
BANAVADI
BELAGUMBA
BISKOOR
BITTASANDRA
CHIKKAHALLI
CHIKKAMUDIGERE
GUDEMARANAHALLI
HANCHIKUPPE
HHULIKALLU
HULLENAHALLI
KALARI KAVAL
KANNURU
KKALYA
KUDUR
LLAKKENAHALLI
MADABAL
MADIGONDANAHALLI
MATHIKERE
MOTAGONDANAHALLI
NARASANDRA
NETHANAHALLI
SANKIGATTA
SATHANOOR
SEEGEKUPPE
SOLUR
SRIGIRIPURA
THAGGIKUPPE
THIPPASANDRA
